"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SUMO1",3.91601946340659e-26,-1.27391440585632,0.942,0.988,1.31946359800022e-21
"IDH1",1.46736445317413e-25,-2.39444249831368,0.442,0.817,4.94413778852491e-21
"MGST1",5.82319251085898e-24,-2.36671182815235,0.692,0.899,1.96206648460882e-19
"C11orf31",1.72142308179171e-23,-1.06913367829748,0.981,0.997,5.80016293178898e-19
"HSPA1A",2.73360354142277e-23,-2.60350913844292,0.308,0.727,9.21060377246988e-19
"CTHRC1",4.08906229324733e-23,-2.07540440617949,0.75,0.907,1.37776864908675e-18
"SLC43A3",1.1222578764866e-21,-1.92662418411604,0.462,0.86,3.78133568903395e-17
"SHFM1",1.60811784797961e-21,-1.04828288502174,0.942,0.999,5.4183922769825e-17
"GLS",1.45808081139275e-20,-1.97349667596281,0.654,0.852,4.91285748590672e-16
"GPX1",2.92703996690964e-20,-2.0574266535799,0.346,0.777,9.86236846450536e-16
"BRK1",4.7784530346375e-20,1.63894093523479,0.981,0.987,1.61005196549076e-15
"AZGP1",6.34648695695714e-20,-2.6205178573147,0.635,0.867,2.13838531527714e-15
"S100A1",4.5389554901312e-19,-1.58879807359673,0.885,0.977,1.52935566284481e-14
"RPL35A",2.20227043462501e-18,-0.519592764561265,1,1,7.42033000242552e-14
"BRI3",2.93116604325905e-18,-0.971412100077972,0.981,0.991,9.87627086615706e-14
"TADA3",1.00334788241162e-17,1.4334229881663,0.904,0.727,3.38068035499772e-13
"COL11A1",1.71009558093973e-17,-1.60981400997445,0.077,0.596,5.76199605041832e-13
"MDFI",5.92654601061139e-17,-1.42609584145675,0.788,0.941,1.9968904128154e-12
"ZC3H15",6.3538652889556e-17,-1.1474023934264,0.846,0.946,2.1408713704607e-12
"SOD3",8.65162840173145e-17,-1.99899192182419,0.885,0.946,2.91507967367939e-12
"HSPA1B",1.51966662112043e-16,-1.83281506879083,0.346,0.712,5.12036471320316e-12
"MXRA8",1.86196690646333e-16,-1.48040550141599,0.25,0.775,6.27371129463754e-12
"TMEM106C",2.15943322385592e-16,-1.42724407384892,0.692,0.907,7.27599430446013e-12
"TIMM10",2.34043573630565e-16,-1.13025655425471,0.885,0.952,7.88586416990826e-12
"TMEM176B",3.25542361753248e-16,-1.40304506990867,0.635,0.895,1.09688243369139e-11
"TUBB2B",3.94392725272825e-16,-2.26595091550615,0.077,0.61,1.32886684853426e-11
"NUPR1",5.72103382574338e-16,-1.02731981512187,1,0.999,1.92764513724597e-11
"SQSTM1",9.65264090536416e-16,-1.06744558243146,0.981,0.98,3.2523608266534e-11
"TMX2",1.71709812507977e-15,-1.18808394446584,0.712,0.908,5.78559042264379e-11
"SSRP1",2.75810191691978e-15,-1.12189631234954,0.904,0.965,9.2931485988695e-11
"TUBB2A",7.26681541942427e-15,-1.5192155042948,0.442,0.79,2.44848078742081e-10
"MED19",1.31596515040433e-14,-1.05912560504902,0.712,0.913,4.43401297777234e-10
"RPL41",2.25575712450576e-14,-0.380672448244599,1,1,7.60054805530971e-10
"DBI",2.34035975062223e-14,-1.05341320106457,0.981,0.992,7.88560814374654e-10
"PCOLCE2",5.68159476865565e-14,-1.4498769640335,0.077,0.53,1.91435654135083e-09
"SRI",6.06902434455919e-14,-1.01861873117681,0.846,0.934,2.04489706265577e-09
"TSPAN12",7.9096630502092e-14,-1.22410355974952,0.096,0.56,2.66508186813749e-09
"ORC4",8.0866965176266e-14,-1.17062790907085,0.385,0.742,2.72473152464911e-09
"ATP5J2",1.07328636533034e-13,-0.708123448444499,1,0.995,3.61633107934403e-09
"EPHX1",1.08430799748326e-13,-1.24067913742146,0.769,0.902,3.65346736672011e-09
"LINC00998",1.22106281757029e-13,-1.11090122423807,0.788,0.864,4.11424905752135e-09
"EEF1A1",1.2817391236941e-13,0.688638763777756,1,0.999,4.31869180337489e-09
"SCRG1",1.34169972632464e-13,-1.82143280035429,0.5,0.739,4.52072305787825e-09
"FAM3C",1.69492274874835e-13,-1.24608958477559,0.731,0.898,5.7108727096327e-09
"CLU",1.7080706319604e-13,-1.80479062178365,0.904,0.966,5.75517318732737e-09
"CD47",2.22273171528863e-13,-1.09928928423673,0.885,0.943,7.48927224149351e-09
"SEC61G",2.99172937583672e-13,0.743992843407355,1,0.995,1.00803329589443e-08
"ARL6IP5",3.2270032840163e-13,-0.953959363443017,0.712,0.911,1.08730648651645e-08
"SSB",3.76069052378342e-13,-0.790195574264347,0.923,0.97,1.26712706508359e-08
"RPUSD3",3.90111099444058e-13,1.16848460333751,0.962,0.638,1.31444033846681e-08
"ARHGDIB",4.15012100623525e-13,-1.22259582487111,0.404,0.751,1.39834177184091e-08
"HIBCH",4.35276821915947e-13,-1.3140374960971,0.462,0.72,1.46662172376359e-08
"CGGBP1",4.5998721661654e-13,1.1272938246534,0.865,0.637,1.54988092766777e-08
"SUPT4H1",5.54028983152721e-13,-0.94659737672566,0.75,0.902,1.86674525583478e-08
"H3F3B",5.64888388575253e-13,-0.639609926246735,1,0.997,1.90333493646546e-08
"CYBA",7.23635465199251e-13,-1.19500316103882,0.442,0.739,2.43821733644235e-08
"ACTG1",1.01649343619236e-12,-0.705452223218351,1,0.997,3.42497298390655e-08
"MARCKSL1",1.17161598260154e-12,-0.708948655040552,0.981,0.993,3.94764289177762e-08
"SETD5",1.27041401806691e-12,1.15199343319843,0.904,0.585,4.28053299247466e-08
"SAT1",1.42969535209416e-12,-1.19166661846823,0.981,0.997,4.81721551934605e-08
"MMADHC",1.79478414537622e-12,-0.894348846983734,0.788,0.931,6.04734569943062e-08
"LAMTOR2",2.01090401545775e-12,-0.700355293233037,0.942,0.97,6.77553998968334e-08
"BUD31",2.07972259809075e-12,-0.83144469801212,0.788,0.937,7.00741732200698e-08
"RPL39",2.23780806447226e-12,0.617980027702457,1,1,7.54007049243285e-08
"CHMP2B",2.49863326481457e-12,1.17135915737475,0.962,0.888,8.41889492246622e-08
"MRPS21",3.47237281985149e-12,-0.706292206168369,0.865,0.98,1.16998129792076e-07
"SYT8",3.75523692858749e-12,-1.39052627562251,0.346,0.662,1.26528953071827e-07
"TNFSF13B",4.22375160976178e-12,-1.90169732374497,0.904,0.89,1.42315086739313e-07
"ITPA",6.37924148247632e-12,-1.0462932936929,0.096,0.537,2.14942162510557e-07
"IFRD1",8.09062536524607e-12,-1.03336182473057,0.75,0.913,2.72605531056601e-07
"SEC13",1.08616465971402e-11,1.28789857454624,0.981,0.786,3.6597232044404e-07
"SUMO2",1.47252750573038e-11,-0.535031860248458,1,0.996,4.96153417780793e-07
"COMMD6",1.76375040342375e-11,0.803656612222795,0.962,0.95,5.94278060929599e-07
"THUMPD3-AS1",1.8029096331518e-11,1.35612793329725,0.962,0.832,6.07472371794167e-07
"MPC2",2.16951739454489e-11,-0.704493967976445,0.904,0.978,7.30997190917957e-07
"SDCBP",2.18926316928158e-11,-0.78737745048074,0.962,0.983,7.37650332257735e-07
"MYLK",2.19658393462017e-11,-1.35989032675965,0.538,0.855,7.40116990930922e-07
"MATN3",2.70163851501387e-11,-1.54729058753118,0.154,0.528,9.10290081248773e-07
"PPDPF",2.83372585941318e-11,0.691959597517855,1,0.997,9.54795591070677e-07
"ACTA2",3.04198358700403e-11,-2.01712837993853,0.481,0.694,1.02496594980514e-06
"CKS2",3.04805116977201e-11,-1.48177919060472,0.769,0.903,1.02701036114298e-06
"SOHLH1",3.16311116959475e-11,-1.03951087114301,0.038,0.486,1.06577867748325e-06
"TUBA1A",3.55436663345229e-11,-1.11792801539123,0.865,0.945,1.19760829347541e-06
"SH3BGR",3.81082800362732e-11,-1.1922993522205,0.212,0.563,1.28402038754219e-06
"POLR2J",4.69902535777713e-11,-0.692831050450865,0.808,0.952,1.58328960404943e-06
"TMEM176A",4.81135001226906e-11,-1.11220109786426,0.577,0.777,1.62113627313394e-06
"MIA",5.10609206671662e-11,-1.09964114563014,0.404,0.711,1.7204466609595e-06
"SFRP1",5.13910294127734e-11,-0.928726678481245,0.885,0.935,1.73156934503399e-06
"CHPT1",5.45949342909094e-11,-1.01607207349813,0.635,0.847,1.8395217159979e-06
"ATP5G2",5.46195091078182e-11,-0.495006479032884,0.962,0.985,1.84034973987883e-06
"LITAF",5.5258205845218e-11,-0.807503856700392,0.904,0.968,1.86186998774877e-06
"DYNLRB1",5.57588601430363e-11,-0.599891498662862,0.962,0.978,1.87873903365946e-06
"PDGFRA",6.32174585812707e-11,-1.25914573760103,0.115,0.479,2.13004904943734e-06
"TUBA1B",9.08521749594965e-11,-1.05505035223873,0.885,0.966,3.06117318308528e-06
"MAF1",1.04157931207526e-10,-0.629420869093665,0.962,0.972,3.50949733410638e-06
"TAGLN",1.17250241813828e-10,-1.50199796649007,0.769,0.919,3.95062964767513e-06
"EMC3",1.29913166286787e-10,1.15895316018033,0.981,0.84,4.37729422486699e-06
"ARPC4",1.3021344081704e-10,1.11373372732439,0.962,0.851,4.38741167488934e-06
"JAGN1",1.32004414140881e-10,1.07800664507674,0.923,0.822,4.44775673006284e-06
"TMBIM6",1.39718729366747e-10,-0.600074402136205,0.981,0.995,4.70768286728319e-06
"S100A6",1.41601618411679e-10,1.47554505057561,1,1,4.7711249307631e-06
"TSC22D4",1.44078834080048e-10,-0.89164577043838,0.577,0.81,4.85459223549313e-06
"FAM213A",1.49118215239006e-10,-0.715327578792902,0.731,0.919,5.02438914426308e-06
"ZNHIT1",1.57449988155739e-10,-0.648805224095762,0.865,0.969,5.30511990091948e-06
"JMJD8",1.62470509344848e-10,-1.00018789577064,0.115,0.541,5.4742813418653e-06
"SLC9A3R2",1.80149834376183e-10,-0.941224317685788,0.635,0.817,6.06996851947111e-06
"RAC1",2.03707158732913e-10,0.634085651485773,1,1,6.86370900634677e-06
"RPL10",2.17701841267466e-10,0.497596252257375,1,1,7.335245839666e-06
"SBSPON",2.23704207038756e-10,-2.07275663446658,0.404,0.61,7.53748955196383e-06
"PSMC2",2.30397961816117e-10,-0.754404256224193,0.635,0.869,7.76302892543224e-06
"H2AFJ",2.68664621131402e-10,-0.742924260763451,1,0.996,9.05238574440145e-06
"UBA1",2.74692025192381e-10,1.04685290636781,0.981,0.794,9.25547309683209e-06
"IGFBP7",2.93718806710064e-10,-1.26326073455817,0.808,0.899,9.89656147328889e-06
"ABHD13",3.1355025401311e-10,-0.989588208185903,0.615,0.77,1.05647622587177e-05
"PTMS",3.38852521584895e-10,-0.808471260358326,0.981,0.987,1.14172968622815e-05
"TRIM47",3.70166880006352e-10,-0.776487166961093,0.75,0.891,1.2472402854934e-05
"ANAPC11",3.88955215102539e-10,-0.563308475415368,0.904,0.976,1.3105457017665e-05
"ACTR6",3.89300424901728e-10,-0.889148640316254,0.423,0.715,1.31170885166388e-05
"RPL38",5.34642336024075e-10,-0.382598798119226,1,0.999,1.80142388699952e-05
"TPM2",5.40288356403688e-10,-1.02784344033295,0.615,0.785,1.82044758806659e-05
"MYO1B",6.46362853327699e-10,-0.961371283018632,0.327,0.614,2.17785499800235e-05
"PDAP1",6.97434559498444e-10,-0.702193214796825,0.769,0.919,2.34993600477406e-05
"FIS1",7.07703204996057e-10,-0.798955346355773,0.596,0.812,2.38453517891371e-05
"SPCS1",8.00190768306906e-10,-0.51380325722479,0.981,0.98,2.69616277473329e-05
"PSMA7",9.79141349337161e-10,-0.49085752740961,0.981,0.997,3.29911886245663e-05
"HIST1H2AE",1.03477722281793e-09,-1.14460563943515,0.558,0.783,3.48657837456273e-05
"ARL5A",1.03552763052672e-09,-0.859888385204389,0.75,0.848,3.48910679829672e-05
"METTL7A",1.07908586461664e-09,-1.0831061730297,0.212,0.557,3.63587191223929e-05
"SRPK2",1.09454048093536e-09,-0.814217367497083,0.673,0.848,3.68794469646361e-05
"SCARA3",1.19797663252247e-09,-0.873632577450842,0.154,0.53,4.0364624656212e-05
"RAB7A",1.25137213650284e-09,-0.627831687729641,0.942,0.965,4.21637327673266e-05
"COX6C",1.25999695957293e-09,-0.446383205772159,1,1,4.24543375558503e-05
"ABI2",1.29239938736789e-09,-0.860231761390917,0.385,0.711,4.35461049579738e-05
"AP1S1",1.36455267993015e-09,-0.77203056027802,0.769,0.887,4.59772379975666e-05
"ATP5H",1.54130222833591e-09,-0.636734823229237,0.865,0.923,5.193263728155e-05
"FAM92A1",1.65382707149213e-09,0.942882882278443,0.75,0.33,5.57240493468558e-05
"DSC3",1.72965602863911e-09,-0.921666639179154,0.096,0.507,5.82790302289663e-05
"LDHB",1.7548847846286e-09,-1.1283759252163,0.635,0.852,5.9129087933276e-05
"RBP7",1.76689479908824e-09,-0.831273412608719,0.712,0.837,5.9533753360479e-05
"HNRNPF",1.89234538665725e-09,-0.731718165145495,0.904,0.949,6.37606854580295e-05
"SYPL1",1.89390262733479e-09,-0.786564910051508,0.923,0.933,6.38131551254185e-05
"IL17RC",1.96704362071018e-09,1.09279266055353,0.827,0.467,6.62775677562087e-05
"VHL",2.04026795603804e-09,1.03244300463869,0.712,0.419,6.87447885107458e-05
"HIST1H2BG",2.04248878267342e-09,-0.907261437528972,0.462,0.705,6.88196170433981e-05
"XAGE2",2.13149104171471e-09,-1.23277936051504,0.096,0.471,7.18184591595356e-05
"PPP1R12A",2.51625992494268e-09,-0.982305532242207,0.519,0.766,8.47828619110188e-05
"CD9",2.68609562044376e-09,-0.67624683799439,1,1,9.05053058352319e-05
"GCSH",2.73536845141104e-09,-0.878992689499579,0.923,0.917,9.21655046018436e-05
"MYL9",2.75761411057659e-09,-1.15201418892279,0.904,0.954,9.29150498417677e-05
"CD63",2.81874203080942e-09,-0.463882319211225,1,1,9.49746939860924e-05
"TMA7",3.00520415716844e-09,-0.383526701541824,1,0.991,0.000101257348871634
"COX7A2",3.41309701803669e-09,0.648633409562292,1,0.995,0.000115000890925728
"VPS28",3.47461210865443e-09,-0.443637801664526,0.981,0.992,0.000117073580389002
"MAD2L1BP",3.55792204707373e-09,0.807767595738435,0.865,0.612,0.000119880625454102
"HBP1",3.91950816817078e-09,-0.790225589140578,0.615,0.824,0.000132063908218346
