"","Source.Name","V1","V2","Comment.ENA_RUN."
"1","22259_2_169","22259_2#169","clone1","ERR2806033"
"2","22259_2_173","22259_2#173","clone2","ERR2806034"
"3","22259_2_174","22259_2#174","clone1","ERR2806035"
"4","22259_2_175","22259_2#175","clone1","ERR2806036"
"5","22259_2_179","22259_2#179","clone1","ERR2806037"
"6","22259_2_185","22259_2#185","clone1","ERR2806038"
"7","22259_2_291","22259_2#291","clone2","ERR2806039"
"8","22259_2_298","22259_2#298","clone2","ERR2806040"
"9","22259_2_299","22259_2#299","clone2","ERR2806041"
"10","22259_2_305","22259_2#305","clone1","ERR2806043"
"11","22259_2_309","22259_2#309","clone1","ERR2806045"
"12","22259_2_312","22259_2#312","clone2","ERR2806046"
"13","22259_2_49","22259_2#49","clone1","ERR2806047"
"14","22259_2_50","22259_2#50","clone1","ERR2806048"
"15","22259_2_52","22259_2#52","clone1","ERR2806049"
"16","22259_2_56","22259_2#56","clone1","ERR2806050"
"17","22259_2_60","22259_2#60","clone3","ERR2806051"
"18","22259_2_61","22259_2#61","clone3","ERR2806052"
"19","22259_2_64","22259_2#64","clone2","ERR2806053"
"20","22259_6_176","22259_6#176","clone3","ERR2806054"
"21","22259_6_181","22259_6#181","clone2","ERR2806055"
"22","22259_6_185","22259_6#185","clone1","ERR2806056"
"23","22259_6_186","22259_6#186","clone1","ERR2806057"
"24","22259_6_187","22259_6#187","clone1","ERR2806058"
"25","22259_6_190","22259_6#190","clone1","ERR2806059"
"26","22259_6_294","22259_6#294","clone2","ERR2806060"
"27","22259_6_300","22259_6#300","clone2","ERR2806061"
"28","22259_6_302","22259_6#302","unassigned","ERR2806062"
"29","22259_6_305","22259_6#305","clone1","ERR2806063"
"30","22259_6_307","22259_6#307","clone1","ERR2806064"
"31","22259_6_50","22259_6#50","clone2","ERR2806065"
"32","22259_6_52","22259_6#52","clone1","ERR2806066"
"33","22259_6_55","22259_6#55","clone2","ERR2806067"
"34","22259_6_56","22259_6#56","clone1","ERR2806068"
"35","22259_6_59","22259_6#59","clone2","ERR2806069"
"36","22259_6_60","22259_6#60","clone2","ERR2806070"
"37","22259_6_63","22259_6#63","clone2","ERR2806071"
"38","22259_6_66","22259_6#66","clone1","ERR2806072"
"39","22259_6_70","22259_6#70","clone2","ERR2806073"
"40","22259_6_71","22259_6#71","clone3","ERR2806074"
"41","22388_2_169","22388_2#169","clone1","ERR2806075"
"42","22388_2_170","22388_2#170","clone2","ERR2806076"
"43","22388_2_171","22388_2#171","clone1","ERR2806077"
"44","22388_2_172","22388_2#172","clone1","ERR2806078"
"45","22388_2_176","22388_2#176","clone1","ERR2806079"
"46","22388_2_182","22388_2#182","clone2","ERR2806081"
"47","22388_2_183","22388_2#183","clone1","ERR2806082"
"48","22388_2_292","22388_2#292","clone1","ERR2806084"
"49","22388_2_293","22388_2#293","clone2","ERR2806085"
"50","22388_2_296","22388_2#296","clone1","ERR2806086"
"51","22388_2_302","22388_2#302","clone1","ERR2806087"
"52","22388_2_305","22388_2#305","clone2","ERR2806088"
"53","22388_2_306","22388_2#306","clone3","ERR2806089"
"54","22388_2_309","22388_2#309","clone2","ERR2806090"
"55","22388_2_311","22388_2#311","clone1","ERR2806091"
"56","22388_2_52","22388_2#52","clone2","ERR2806092"
"57","22388_2_53","22388_2#53","clone1","ERR2806093"
"58","22388_2_60","22388_2#60","clone1","ERR2806094"
"59","22388_2_64","22388_2#64","clone1","ERR2806095"
"60","22388_2_65","22388_2#65","clone1","ERR2806096"
"61","22388_2_66","22388_2#66","clone1","ERR2806097"
"62","22388_2_68","22388_2#68","clone1","ERR2806098"
"63","22388_2_71","22388_2#71","clone1","ERR2806099"
"64","22666_2_169","22666_2#169","clone1","ERR2806100"
"65","22666_2_173","22666_2#173","clone1","ERR2806101"
"66","22666_2_180","22666_2#180","clone1","ERR2806102"
"67","22666_2_181","22666_2#181","clone2","ERR2806103"
"68","22666_2_182","22666_2#182","clone1","ERR2806104"
"69","22666_2_187","22666_2#187","clone2","ERR2806105"
"70","22666_2_296","22666_2#296","clone2","ERR2806106"
"71","22666_2_300","22666_2#300","clone3","ERR2806107"
"72","22666_2_301","22666_2#301","clone1","ERR2806108"
"73","22666_2_310","22666_2#310","clone1","ERR2806109"
"74","22666_2_56","22666_2#56","clone1","ERR2806110"
"75","22666_2_62","22666_2#62","clone1","ERR2806111"
"76","22666_2_65","22666_2#65","clone1","ERR2806112"
"77","22666_2_66","22666_2#66","clone2","ERR2806113"
"78","22666_2_70","22666_2#70","unassigned","ERR2806114"
"79","22666_2_71","22666_2#71","clone3","ERR2806115"
