,mquad,cardelino,combined
0,1,clone1,clone1.MT1
1,1,clone2,clone2.MT1
2,1,clone1,clone1.MT1
3,1,clone1,clone1.MT1
4,1,clone1,clone1.MT1
5,0,clone1,clone1.MT0
6,1,clone2,clone2.MT1
7,1,clone2,clone2.MT1
8,1,clone2,clone2.MT1
9,0,clone1,clone1.MT0
10,1,clone1,clone1.MT1
11,1,clone2,clone2.MT1
12,1,clone1,clone1.MT1
13,1,clone1,clone1.MT1
14,1,clone1,clone1.MT1
15,1,clone1,clone1.MT1
16,2,clone3,clone3.MT2
17,2,clone3,clone3.MT2
18,1,clone2,clone2.MT1
19,2,clone3,clone3.MT2
20,1,clone2,clone2.MT1
21,1,clone1,clone1.MT1
22,0,clone1,clone1.MT0
23,1,clone1,clone1.MT1
24,1,clone1,clone1.MT1
25,1,clone2,clone2.MT1
26,1,clone2,clone2.MT1
27,1,clone1,clone1.MT1
28,0,clone1,clone1.MT0
29,1,clone2,clone2.MT1
30,1,clone1,clone1.MT1
31,1,clone2,clone2.MT1
32,1,clone1,clone1.MT1
33,1,clone2,clone2.MT1
34,1,clone2,clone2.MT1
35,1,clone2,clone2.MT1
36,0,clone1,clone1.MT0
37,1,clone2,clone2.MT1
38,2,clone3,clone3.MT2
39,1,clone1,clone1.MT1
40,1,clone2,clone2.MT1
41,1,clone1,clone1.MT1
42,1,clone1,clone1.MT1
43,0,clone1,clone1.MT0
44,1,clone2,clone2.MT1
45,1,clone1,clone1.MT1
46,1,clone1,clone1.MT1
47,1,clone2,clone2.MT1
48,0,clone1,clone1.MT0
49,0,clone1,clone1.MT0
50,1,clone2,clone2.MT1
51,2,clone3,clone3.MT2
52,1,clone2,clone2.MT1
53,1,clone1,clone1.MT1
54,1,clone2,clone2.MT1
55,0,clone1,clone1.MT0
56,1,clone1,clone1.MT1
57,1,clone1,clone1.MT1
58,1,clone1,clone1.MT1
59,1,clone1,clone1.MT1
60,0,clone1,clone1.MT0
61,1,clone1,clone1.MT1
62,0,clone1,clone1.MT0
63,0,clone1,clone1.MT0
64,1,clone1,clone1.MT1
65,1,clone2,clone2.MT1
66,0,clone1,clone1.MT0
67,1,clone2,clone2.MT1
68,1,clone2,clone2.MT1
69,2,clone3,clone3.MT2
70,1,clone1,clone1.MT1
71,0,clone1,clone1.MT0
72,0,clone1,clone1.MT0
73,1,clone1,clone1.MT1
74,1,clone1,clone1.MT1
75,1,clone2,clone2.MT1
76,2,clone3,clone3.MT2
