cell_id	0	1	2	3	4	5	6	7	8	9
PDX_mRCC_0	0.9999999996813003	6.036431571064906e-72	2.0678186646604487e-14	3.176549365079518e-10	1.2035550960248153e-41	1.021764063679043e-12	6.036431571064906e-72	3.3513912560854688e-22	3.677901300167146e-24	1.1485415218910606e-22
PDX_mRCC_1	0.9926023311015565	1.582028651325208e-72	6.820228769634313e-08	3.714056695148804e-08	1.3741410778344783e-45	0.007397563555359095	1.582028651325208e-72	2.0511443937469707e-22	1.2572521911368687e-20	2.2667612419593413e-13
PDX_mRCC_10	6.904835904974782e-11	3.0330951276040386e-72	0.9999999999125571	3.182203558135398e-18	2.92059905040827e-47	2.3128004968078824e-20	3.0330951276040386e-72	2.1175543576579478e-13	3.52051480586294e-15	1.8180956885444706e-11
PDX_mRCC_11	1.9198329099418574e-24	7.949669425220122e-74	1.1344002684346702e-07	6.463062746035065e-23	4.428385474683254e-50	6.099522369114658e-16	7.949669425220122e-74	7.98323877054623e-18	1.3851366303325648e-12	0.9999998865585902
PDX_mRCC_12	0.9999998696392268	4.743176184299213e-75	1.109572362594362e-14	1.0148409556345047e-11	2.736625224993891e-51	1.303506155412711e-07	4.743176184299213e-75	1.9115185816515462e-28	1.2480047551120806e-23	8.996752596255233e-20
PDX_mRCC_13	1.7408890515377893e-05	3.5337935656275185e-75	6.383181766981247e-18	0.9999825909128208	5.188297747003526e-50	1.966619793196945e-10	3.5337935656275185e-75	8.289492570036589e-25	1.7587653122106782e-15	3.5303162055165e-16
PDX_mRCC_14	0.9999999995467803	1.7093943489297467e-72	1.4336544129621225e-15	5.923633278046907e-11	2.3836446642247104e-46	3.9398031936238876e-10	1.7093943489297467e-72	1.299570630363358e-26	3.1541072408084282e-24	1.009131496558269e-23
PDX_mRCC_15	2.335860730601248e-13	2.72489291719891e-73	0.9999999990430553	4.692175131775085e-25	8.722026605320795e-44	8.792403620121413e-19	2.72489291719891e-73	1.2648297462330553e-12	2.2503392330418058e-13	9.552220964577911e-10
PDX_mRCC_16	1.8490505546064725e-08	4.529581569633576e-69	9.338821141138136e-18	3.0590216761388166e-05	1.0140038603548134e-43	0.9999693872398636	4.529581569633576e-69	5.015107233934766e-24	5.726377033774004e-16	4.052867629193814e-09
PDX_mRCC_17	2.3578684810024635e-14	2.1753593201762154e-74	0.9999716797532611	2.719887529038447e-24	3.40585443709398e-53	8.362931024656984e-19	2.1753593201762154e-74	6.552247719549598e-21	1.813263874187217e-18	2.8320246714277615e-05
